t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.1,1,2.002548855e-15,0.000000,10705.662883,0.025000,-10725.556289,-0.073660,293.0303715
0.2,1,4.247318003e-15,0.000000,23542.345701,0.050000,-23581.446086,-0.162005,293.1802549
0.3,1,6.318386234e-15,0.000000,36810.563466,0.075000,-36868.687278,-0.253325,293.5468827
0.4,1,6.386800924e-15,0.000000,50166.300467,0.100000,-50243.409488,-0.345247,294.2221798
0.5,1,1.074116418e-14,0.000000,63539.790304,0.125000,-63635.876758,-0.437292,295.2914212
0.6,1,1.429471844e-14,0.000000,76916.881294,0.150000,-77031.943602,-0.529361,296.833428
0.7,1,1.244053896e-14,0.000000,90294.702778,0.175000,-90428.740620,-0.621435,298.9209231
0.8,1,2.089881871e-14,0.000000,103672.672442,0.200000,-103825.685754,-0.713511,301.6209235
0.9,1,2.549653553e-14,0.000000,117050.672165,0.225000,-117222.660933,-0.805587,304.9951446
1,1,1.828277246e-14,0.000000,130428.677985,0.250000,-130619.642206,-0.897662,309.1003993
1.1,1,2.172636924e-14,0.000000,133101.022159,0.250000,-133291.068428,-0.916078,313.1827599
1.2,1,2.065847898e-14,0.000000,133642.346649,0.250000,-133832.161391,-0.919808,317.0381252
1.3,1,2.500895598e-14,0.000000,133752.136243,0.250000,-133941.903011,-0.920565,320.6234965
1.4,1,1.960294108e-14,0.000000,133774.406610,0.250000,-133964.163623,-0.920718,323.9386815
1.5,1,1.964511888e-14,0.000000,133778.924145,0.250000,-133968.679177,-0.920749,326.9963484
1.6,1,2.08329477e-14,0.000000,133779.840527,0.250000,-133969.595157,-0.920756,329.8131634
1.7,1,3.091436532e-14,0.000000,133780.026415,0.250000,-133969.780964,-0.920757,332.4066253
1.8,1,2.149560408e-14,0.000000,133780.064122,0.250000,-133969.818655,-0.920757,334.7938071
1.9,1,2.317077394e-14,0.000000,133780.071771,0.250000,-133969.826301,-0.920757,336.9908562
2,1,2.229507059e-14,0.000000,133780.073323,0.250000,-133969.827851,-0.920757,339.0128236
2.1,1,1.996249523e-14,0.000000,133780.073637,0.250000,-133969.828166,-0.920757,340.8736402
2.2,1,2.619810722e-14,0.000000,133780.073701,0.250000,-133969.828230,-0.920757,342.5861563
2.3,1,2.493171574e-14,0.000000,133780.073714,0.250000,-133969.828243,-0.920757,344.1622062
2.4,1,1.980857342e-14,0.000000,133780.073717,0.250000,-133969.828245,-0.920757,345.6126807
2.5,1,2.764206802e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,346.9475995
2.6,1,2.685859718e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,348.1761798
2.7,1,3.195022251e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,349.3069013
2.8,1,2.628151572e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,350.347565
2.9,1,2.202331519e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,351.3053481
3,1,2.418498232e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,352.1868545
3.1,1,2.622585577e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,352.998161
3.2,1,3.268582649e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,353.7448592
3.3,1,2.749113565e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,354.4320948
3.4,1,2.408997752e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,355.0646033
3.5,1,2.90112792e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,355.6467428
3.6,1,1.821473103e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,356.1825241
3.7,1,2.990559017e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,356.6756384
3.8,1,2.12771564e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,357.129483
3.9,1,3.973231685e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,357.5471847
4,1,2.843642715e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,357.9316211
4.1,1,2.841137013e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,358.285441
4.2,1,2.829305845e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,358.6110819
4.3,1,2.746624784e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,358.9107877
4.4,1,2.21325186e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,359.1866233
4.5,1,3.329293823e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,359.4404895
4.6,1,2.201702771e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,359.6741354
4.7,1,2.328294297e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,359.8891713
4.8,1,2.082074488e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.087079
4.9,1,3.178316766e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.2692225
5,1,2.052418155e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.4368571
5.1,1,3.438070746e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.5911382
5.2,1,3.642381768e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.7331293
5.3,1,2.453095676e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.8638091
5.4,1,2.976898966e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,360.9840785
5.5,1,2.483882525e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.0947666
5.6,1,2.556580956e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.1966365
5.7,1,2.188527533e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.2903906
5.8,1,2.478581057e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.3766752
5.9,1,2.091891549e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.4560853
6,1,1.873288787e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.5291686
6.1,1,3.07590738e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.5964289
6.2,1,3.0628894e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.6583301
6.3,1,2.188612732e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.7152991
6.4,1,1.261333236e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.7677289
6.5,1,2.784218277e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.8159809
6.6,1,4.304810211e-14,0.000000,133780.073717,0.250000,-133969.828246,-0.920757,361.8603881
