"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
310.18,1,0,0.001,0.075,0
310.34,1,2.4997e-05,0.001,0.075025,0
310.5,1,4.9993e-05,0.001,0.07505,0
310.66,1,7.4998e-05,0.001,0.075075,0
310.82,1,9.9994e-05,0.001,0.0751,0
310.98,1,0.000125,0.001,0.075125,0
311.15,1,0.00015,0.001,0.07515,0
311.31,1,0.000175,0.001,0.075175,0
311.47,1,0.0002,0.001,0.0752,0
311.63,1,0.000225,0.001,0.075225,0
311.79,1,0.00025,0.001,0.07525,0
311.95,1,0.00027499,0.001,0.075275,0
312.11,1,0.0003,0.001,0.0753,0
312.27,1,0.00032499,0.001,0.075325,0
312.43,1,0.00035,0.001,0.07535,0
312.59,1,0.000375,0.001,0.075375,0
312.75,1,0.0004,0.001,0.0754,0
312.91,1,0.000425,0.001,0.075425,0
313.08,1,0.00045,0.001,0.07545,0
313.24,1,0.000475,0.001,0.075475,0
313.4,1,0.00049999,0.001,0.0755,0
313.56,1,0.000525,0.001,0.075525,0
313.72,1,0.00054999,0.001,0.07555,0
313.88,1,0.000575,0.001,0.075575,0
314.04,1,0.0006,0.001,0.0756,0
314.2,1,0.000625,0.001,0.075625,0
314.36,1,0.00065,0.001,0.07565,0
314.52,1,0.000675,0.001,0.075675,0
314.68,1,0.0007,0.001,0.0757,0
314.84,1,0.00072499,0.001,0.075725,0
315.01,1,0.00075,0.001,0.07575,0
315.17,1,0.00077499,0.001,0.075775,0
315.33,1,0.0008,0.001,0.0758,0
315.49,1,0.000825,0.001,0.075825,0
315.65,1,0.00085,0.001,0.07585,0
315.81,1,0.000875,0.001,0.075875,0
315.97,1,0.0009,0.001,0.0759,0
316.13,1,0.000925,0.001,0.075925,0
316.29,1,0.00094999,0.001,0.07595,0
316.45,1,0.000975,0.001,0.075975,0
316.61,1,0.00099999,0.001,0.076,0
316.77,1,0.001025,0.001,0.076025,0
316.94,1,0.00105,0.001,0.07605,0
317.1,1,0.001075,0.001,0.076075,0
317.26,1,0.0011,0.001,0.0761,0
317.43,1,0.001125,0.001,0.076125,0
317.59,1,0.00115,0.001,0.07615,0
317.75,1,0.001175,0.001,0.076175,0
317.91,1,0.0012,0.001,0.0762,0
318.06,1,0.001225,0.001,0.076225,0
318.22,1,0.00125,0.001,0.07625,0
318.38,1,0.001275,0.001,0.076275,0
318.53,1,0.0013,0.001,0.0763,0
318.69,1,0.001325,0.001,0.076325,0
318.85,1,0.00135,0.001,0.07635,0
319,1,0.001375,0.001,0.076375,0
319.16,1,0.0014,0.001,0.0764,0
319.32,1,0.001425,0.001,0.076425,0
319.47,1,0.00145,0.001,0.07645,0
319.63,1,0.001475,0.001,0.076475,0
319.78,1,0.0015,0.001,0.0765,0
319.94,1,0.001525,0.001,0.076525,0
320.1,1,0.00155,0.001,0.07655,0
320.25,1,0.001575,0.001,0.076575,0
320.41,1,0.0016,0.001,0.0766,0
320.57,1,0.001625,0.001,0.076625,0
320.72,1,0.00165,0.001,0.07665,0
320.88,1,0.001675,0.001,0.076675,0
321.04,1,0.0017,0.001,0.0767,0
321.19,1,0.001725,0.001,0.076725,0
321.35,1,0.00175,0.001,0.07675,0
321.51,1,0.001775,0.001,0.076775,0
321.66,1,0.0018,0.001,0.0768,0
321.82,1,0.001825,0.001,0.076825,0
321.98,1,0.00185,0.001,0.07685,0
322.13,1,0.001875,0.001,0.076875,0
322.29,1,0.0019,0.001,0.0769,0
322.45,1,0.001925,0.001,0.076925,0
322.6,1,0.00195,0.001,0.07695,0
322.76,1,0.001975,0.001,0.076975,0
322.92,1,0.002,0.001,0.077,0
323.07,1,0.002025,0.001,0.077025,0
323.23,1,0.00205,0.001,0.07705,0
323.39,1,0.002075,0.001,0.077075,0
323.54,1,0.0021,0.001,0.0771,0
323.7,1,0.002125,0.001,0.077125,0
323.86,1,0.00215,0.001,0.07715,0
324.01,1,0.002175,0.001,0.077175,0
324.17,1,0.0022,0.001,0.0772,0
324.32,1,0.002225,0.001,0.077225,0
324.48,1,0.00225,0.001,0.07725,0
324.64,1,0.002275,0.001,0.077275,0
324.79,1,0.0023,0.001,0.0773,0
324.95,1,0.002325,0.001,0.077325,0
325.11,1,0.00235,0.001,0.07735,0
325.26,1,0.002375,0.001,0.077375,0
325.42,1,0.0024,0.001,0.0774,0
325.58,1,0.002425,0.001,0.077425,0
325.72,1,0.00245,0.001,0.07745,0
325.84,1,0.002475,0.001,0.077475,0
325.97,1,0.0025,0.001,0.0775,0
326.09,1,0.002525,0.001,0.077525,0
