"T","A:0","A:1","A:2","J:0","J:1","J:2","V","B:0","B:1","B:2","Jcond:0","Jcond:1","Jcond:2","Jinduct:0","Jinduct:1","Jinduct:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
310.01,0.047328,-0.00062992,-1.9317e-07,8.3324e+05,4.1452e-09,5.5579e-09,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0,0.001,0.075,0
310.16,0.04735,-0.00062996,-1.9524e-07,1.5795e+06,7.8576e-09,1.0535e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,2.4997e-05,0.001,0.075025,0
310.3,0.047371,-0.00062999,-1.973e-07,2.3257e+06,1.157e-08,1.5513e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,4.9993e-05,0.001,0.07505,0
310.45,0.047392,-0.00063002,-1.9936e-07,3.0721e+06,1.5283e-08,2.0492e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,7.4998e-05,0.001,0.075075,0
310.59,0.047413,-0.00063005,-2.0143e-07,3.8184e+06,1.8996e-08,2.5469e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,9.9994e-05,0.001,0.0751,0
310.73,0.047434,-0.00063008,-2.0349e-07,4.5648e+06,2.2709e-08,3.0448e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.000125,0.001,0.075125,0
310.88,0.047455,-0.00063012,-2.0555e-07,5.311e+06,2.6422e-08,3.5426e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.00015,0.001,0.07515,0
311.02,0.047476,-0.00063015,-2.0762e-07,6.0575e+06,3.0135e-08,4.0405e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.000175,0.001,0.075175,0
311.17,0.047497,-0.00063018,-2.0968e-07,6.8037e+06,3.3848e-08,4.5382e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.0002,0.001,0.0752,0
311.31,0.047518,-0.00063021,-2.1175e-07,7.5502e+06,3.7561e-08,5.0361e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.000225,0.001,0.075225,0
311.46,0.04754,-0.00063024,-2.1381e-07,8.2964e+06,4.1273e-08,5.5339e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.00025,0.001,0.07525,0
311.6,0.047561,-0.00063027,-2.1587e-07,9.0426e+06,4.4986e-08,6.0316e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.00027499,0.001,0.075275,0
311.75,0.047582,-0.00063031,-2.1794e-07,9.7891e+06,4.8699e-08,6.5295e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.0003,0.001,0.0753,0
311.89,0.047603,-0.00063034,-2.2e-07,1.0535e+07,5.2412e-08,7.0273e-08,0.24787,-0.0021988,0.0047944,-1.4746,1.2341e+08,-1.707e+05,2.8373e+05,4.8295e-08,-1.0061e-09,1.5205e-10,1,0.00032499,0.001,0.075325,0
