t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.1,1,1.086758148e-14,0.000000,10668.128933,0.025000,-10671.075354,-0.074043,293.0298655
0.2,1,1.294738844e-14,0.000000,23488.608213,0.050000,-23494.552625,-0.163009,293.1772229
0.3,1,1.142741123e-14,0.000000,36749.703307,0.075000,-36758.654827,-0.255029,293.5365928
0.4,1,4.443359964e-14,0.000000,50101.129064,0.100000,-50113.089561,-0.347675,294.1957336
0.5,1,3.334413686e-14,0.000000,63471.076887,0.125000,-63486.046743,-0.440449,295.2343837
0.6,1,3.85066903e-14,0.000000,76844.822703,0.150000,-76862.801997,-0.533249,296.7246691
0.7,1,4.241820109e-14,0.000000,90219.347308,0.175000,-90240.336056,-0.626055,298.7316845
0.8,1,6.199625718e-14,0.000000,103594.031607,0.200000,-103618.029812,-0.718863,301.3140943
0.9,1,6.344459476e-14,0.000000,116968.748651,0.225000,-116995.756314,-0.811670,304.5247225
1,1,9.19980312e-14,0.000000,130343.472410,0.250000,-130373.489531,-0.904477,308.4111118
1.1,1,7.179067922e-14,0.000000,133050.068613,0.250000,-133080.148770,-0.923242,312.2203118
1.2,1,8.325164812e-14,0.000000,133604.314750,0.250000,-133634.406376,-0.927083,315.7513209
1.3,1,6.741815063e-14,0.000000,133717.945133,0.250000,-133748.039107,-0.927871,318.9682469
1.4,1,1.007477823e-13,0.000000,133741.244863,0.250000,-133771.339319,-0.928032,321.8794289
1.5,1,1.029568328e-13,0.000000,133746.022530,0.250000,-133776.117085,-0.928065,324.5059498
1.6,1,9.085269203e-14,0.000000,133747.002206,0.250000,-133777.096780,-0.928072,326.8721462
1.7,1,6.786593071e-14,0.000000,133747.203091,0.250000,-133777.297670,-0.928073,329.0022491
1.8,1,7.106115942e-14,0.000000,133747.244283,0.250000,-133777.338863,-0.928074,330.9191147
1.9,1,7.703078004e-14,0.000000,133747.252730,0.250000,-133777.347309,-0.928074,332.6437871
2,1,8.881766931e-14,0.000000,133747.254462,0.250000,-133777.349041,-0.928074,334.1954151
2.1,1,1.124200036e-13,0.000000,133747.254817,0.250000,-133777.349397,-0.928074,335.5913204
2.2,1,6.956454618e-14,0.000000,133747.254890,0.250000,-133777.349469,-0.928074,336.8471252
2.3,1,1.073790664e-13,0.000000,133747.254905,0.250000,-133777.349484,-0.928074,337.9768978
2.4,1,8.026035257e-14,0.000000,133747.254908,0.250000,-133777.349487,-0.928074,338.9932979
2.5,1,5.07656606e-14,0.000000,133747.254908,0.250000,-133777.349488,-0.928074,339.9077137
2.6,1,4.716977e-14,0.000000,133747.254908,0.250000,-133777.349488,-0.928074,340.7303882
2.7,1,5.013953435e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,341.470534
2.8,1,7.727598445e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,342.1364371
2.9,1,4.271392014e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,342.7355499
3,1,5.653735128e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,343.274576
3.1,1,7.275382937e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,343.759545
3.2,1,7.002165386e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,344.1958808
3.3,1,7.326962856e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,344.5884625
3.4,1,7.045969963e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,344.9416792
3.5,1,7.661759569e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,345.2594795
3.6,1,8.05191812e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,345.5454155
3.7,1,7.262493026e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,345.802683
3.8,1,7.551939322e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.034157
3.9,1,7.973217522e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.2424239
4,1,8.469046323e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.429811
4.1,1,4.971674127e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.5984119
4.2,1,6.487947208e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.7501102
4.3,1,5.264636983e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,346.8866008
4.4,1,7.897405621e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.0094082
4.5,1,6.115417215e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.1199045
4.6,1,7.355978446e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.219324
4.7,1,6.58362227e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.3087771
4.8,1,7.052986165e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.389263
4.9,1,5.107096245e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.4616808
5,1,5.844580704e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.5268392
5.1,1,4.853656676e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.5854662
5.2,1,5.306679688e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.6382163
5.3,1,5.528138145e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.6856788
5.4,1,7.246298863e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.7283838
5.5,1,5.867775658e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.7668082
5.6,1,7.797371951e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.8013811
5.7,1,6.780209624e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.8324887
5.8,1,6.21339807e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.8604782
5.9,1,6.83410447e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.8856623
6,1,7.26001461e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9083222
6.1,1,6.895521104e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9287109
6.2,1,6.72335534e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9470562
6.3,1,5.681695054e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9635628
6.4,1,5.170361021e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9784151
6.5,1,8.052291765e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,347.9917789
6.6,1,8.26081705e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0038034
6.7,1,8.035662629e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0146228
6.8,1,5.161008562e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.024358
6.9,1,7.006422108e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0331176
7,1,5.649919825e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0409995
7.1,1,8.459893491e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0480916
7.2,1,7.017349196e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0544731
7.3,1,7.434427263e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0602151
7.4,1,6.669843258e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0653819
7.5,1,6.281332746e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.070031
7.6,1,6.603755269e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0742144
7.7,1,7.017501215e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0779787
7.8,1,6.277042518e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0813659
7.9,1,8.380382188e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0844139
8,1,8.373113785e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0871566
8.1,1,6.957573046e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0896246
8.2,1,7.269752748e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0918455
8.3,1,6.216681485e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.093844
8.4,1,6.457784839e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0956424
8.5,1,6.376533037e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0972608
