t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.01,1,1.113603489e-16,0.000000,390.056088,0.002500,-392.157903,-0.002675,293.0000023
0.02,1,1.228878783e-16,0.000000,1049.320964,0.005000,-1053.579261,-0.007207,293.0000229
0.03,1,4.974253921e-16,0.000000,1900.356518,0.007500,-1906.718093,-0.013060,293.0000983
0.04,1,4.811041153e-16,0.000000,2888.784604,0.010000,-2897.195292,-0.019860,293.0002852
0.05,1,3.615595379e-16,0.000000,3975.788399,0.012500,-3986.206209,-0.027340,293.0006567
0.06,1,1.557643693e-15,0.000000,5133.545115,0.015000,-5145.939272,-0.035307,293.0012971
0.07,1,7.312335343e-16,0.000000,6342.088907,0.017500,-6356.437173,-0.043624,293.0022992
0.08,1,2.457473504e-15,0.000000,7587.086575,0.020000,-7603.372940,-0.052192,293.0037609
0.09,1,2.793032195e-15,0.000000,8858.246488,0.022500,-8876.459425,-0.060941,293.0057831
0.1,1,4.540779561e-15,0.000000,10148.177562,0.025000,-10168.308762,-0.069818,293.0084689
0.11,1,1.954773968e-15,0.000000,11451.570391,0.027500,-11473.613851,-0.078789,293.0119222
0.12,1,2.772031869e-15,0.000000,12764.609453,0.030000,-12788.560820,-0.087826,293.0162473
0.13,1,4.916127748e-15,0.000000,14084.551166,0.032500,-14110.407266,-0.096910,293.0215487
0.14,1,2.574317587e-15,0.000000,15409.420984,0.035000,-15437.179484,-0.106029,293.0279306
0.15,1,1.707192055e-15,0.000000,16737.795965,0.037500,-16767.455128,-0.115171,293.0354968
0.16,1,1.568560595e-15,0.000000,18068.648680,0.040000,-18100.207195,-0.124331,293.0443508
0.17,1,4.881066722e-15,0.000000,19401.235173,0.042500,-19434.692026,-0.133503,293.0545957
0.18,1,6.398448628e-15,0.000000,20735.014528,0.045000,-20770.368916,-0.142682,293.066334
0.19,1,2.458920912e-15,0.000000,22069.591146,0.047500,-22106.842408,-0.151868,293.0796678
0.2,1,9.222651669e-15,0.000000,23404.673298,0.050000,-23443.820875,-0.161056,293.0946985
0.21,1,8.024018837e-15,0.000000,24740.043393,0.052500,-24781.086788,-0.170247,293.1115271
0.22,1,5.966178435e-15,0.000000,26075.536625,0.055000,-26118.475386,-0.179438,293.1302539
0.23,1,7.065949373e-15,0.000000,27411.025663,0.057500,-27455.859362,-0.188630,293.1509787
0.24,1,2.76025552e-15,0.000000,28746.409658,0.060000,-28793.137879,-0.197820,293.1738006
0.25,1,2.121065972e-15,0.000000,30081.606361,0.062500,-30130.228693,-0.207010,293.198818
0.26,1,8.35388758e-15,0.000000,31416.546468,0.065000,-31467.062499,-0.216197,293.2261287
0.27,1,7.748635302e-15,0.000000,32751.169570,0.067500,-32803.578881,-0.225383,293.2558299
0.28,1,9.205635968e-15,0.000000,34085.421252,0.070000,-34139.723416,-0.234565,293.2880178
0.29,1,7.203994696e-15,0.000000,35419.251012,0.072500,-35475.445589,-0.243745,293.3227883
0.3,1,6.867848329e-15,0.000000,36752.610778,0.075000,-36810.697317,-0.252921,293.3602362
0.31,1,1.033613085e-14,0.000000,38085.453850,0.077500,-38145.431885,-0.262094,293.4004557
0.32,1,2.002942205e-14,0.000000,39417.734145,0.080000,-39479.603197,-0.271263,293.4435401
0.33,1,1.338059096e-14,0.000000,40749.405664,0.082500,-40813.165238,-0.280428,293.4895819
0.34,1,3.773609446e-15,0.000000,42080.422111,0.085000,-42146.071699,-0.289588,293.5386731
0.35,1,7.219278099e-15,0.000000,43410.736639,0.087500,-43478.275716,-0.298743,293.5909045
0.36,1,6.652363155e-15,0.000000,44740.301658,0.090000,-44809.729684,-0.307893,293.6463661
0.37,1,1.35579991e-14,0.000000,46069.068718,0.092500,-46140.385140,-0.317037,293.7051474
0.38,1,3.040080251e-14,0.000000,47396.988427,0.095000,-47470.192675,-0.326175,293.7673366
0.39,1,3.977551037e-15,0.000000,48724.010400,0.097500,-48799.101890,-0.335307,293.8330213
0.4,1,1.314545306e-14,0.000000,50050.083230,0.100000,-50127.061363,-0.344433,293.9022882
0.41,1,4.783266365e-15,0.000000,51375.154477,0.102500,-51454.018639,-0.353551,293.9752229
0.42,1,4.15331241e-15,0.000000,52699.170663,0.105000,-52779.920226,-0.362662,294.0519105
0.43,1,2.347781766e-14,0.000000,54022.077284,0.107500,-54104.711606,-0.371766,294.1324347
0.44,1,6.430645219e-15,0.000000,55343.818822,0.110000,-55428.337246,-0.380861,294.2168787
0.45,1,9.283424048e-15,0.000000,56664.338762,0.112500,-56750.740617,-0.389947,294.3053246
0.46,1,1.395817609e-14,0.000000,57983.579613,0.115000,-58071.864214,-0.399025,294.3978535
0.47,1,1.31374813e-14,0.000000,59301.482934,0.117500,-59391.649582,-0.408093,294.4945457
0.48,1,5.515879604e-15,0.000000,60617.989359,0.120000,-60710.037342,-0.417152,294.5954805
0.49,1,1.477325433e-14,0.000000,61933.038624,0.122500,-62026.967216,-0.426200,294.7007362
0.5,1,6.984658646e-15,0.000000,63246.569598,0.125000,-63342.378059,-0.435238,294.8103903
0.51,1,7.528730716e-15,0.000000,64558.520311,0.127500,-64656.207886,-0.444265,294.9245191
0.52,1,4.405107817e-14,0.000000,65868.827983,0.130000,-65968.393907,-0.453280,295.0431981
0.53,1,5.414402164e-15,0.000000,67177.429060,0.132500,-67278.872552,-0.462283,295.1665017
0.54,1,2.529903413e-15,0.000000,68484.259242,0.135000,-68587.579509,-0.471274,295.2945035
0.55,1,2.456501255e-14,0.000000,69789.253518,0.137500,-69894.449753,-0.480252,295.4272759
0.56,1,1.945574326e-14,0.000000,71092.346198,0.140000,-71199.417582,-0.489217,295.5648904
